"","CountryID","Country.Name","WEBNAME","Region","World.Rank","Region.Rank","X2014.Score","Change.in.Yearly.Score.from.2013","Property.Rights","Change.in.Property.Rights.from.2013","Freedom.from.Corruption","Change.in.Freedom.from.Corruption.from.2013","Fiscal.Freedom.","Change.in.Fiscal.Freedom.from.2013","Gov.t.Spending","Change.in.Gov.t.Spending.from.2013","Business.Freedom","Change.in.Business.Freedom.from.2013","Labor.Freedom","Change.in.Labor.Freedom.from.2013","Monetary.Freedom","Change.in.Monetary.Freedom.from.2013","Trade.Freedom","Change.in.Trade.Freedom.from.2013","Investment.Freedom.","Change.in.Investment.Freedom.from.2013","Financial.Freedom","Change.in.Financial.Freedom.from.2013","Tariff.Rate....","Income.Tax.Rate....","Corporate.Tax.Rate....","Tax.Burden...of.GDP","Gov.t.Expenditure...of.GDP.","Country","Population..Millions.","GDP..Billions..PPP.","GDP.Growth.Rate....","X5.Year.GDP.Growth.Rate....","GDP.per.Capita..PPP.","Unemployment....","Inflation....","FDI.Inflow..Millions.","Public.Debt....of.GDP."
"32",32,"Chad","Chad","Sub-Saharan Africa","167","41","44,5","-0,7","20","0,0","15,9","-4,1","46,2","-4,2","80,0","4,5","24,9","-0,3","43,3","2,8","69,8","-4,8","55,2","-0,4","50","0,0","40","0,0","14,9","60,0","45,0","5,1","25,8","Chad","10,7","$20,7","5,0","3,7","$1.924","N/A","7,7","323,5","34,5"
"33",33,"Chile","Chile","South and Central America / Caribbean","7","1","78,7","-0,3","90","0,0","72,3","0,3","76,5","-1,1","83,8","0,1","69,3","-1,2","69,3","-4,9","84,1","-0,5","82,0","-0,0","90","5,0","70","0,0","4,0","40,0","20,0","18,7","23,2","Chile","17,4","$320,5","5,5","3,8","$18.419","6,5","3,0","30.323,0","11,2"
"34",34,"China","China","Asia-Pacific","137","29","52,5","0,6","20","0,0","35,0","-1,0","69,9","-0,3","82,9","-0,4","49,7","1,7","61,9","-0,7","73,3","1,7","71,8","-0,2","30","5,0","30","0,0","4,1","45,0","25,0","19,0","23,9","China","1354,0","$12.405,7","7,8","9,3","$9.162","4,1","2,7","121.080,0","22,8"
"35",35,"Colombia","Colombia","South and Central America / Caribbean","34","3","70,7","1,1","50","0,0","33,2","-0,8","80,6","4,5","74,9","-0,3","85,2","-5,0","80,5","1,2","78,8","0,1","78,8","6,6","75","5,0","70","0,0","5,6","33,0","25,0","15,1","28,9","Colombia","46,6","$502,9","4,0","4,0","$10.792","10,4","3,2","15.822,9","32,8"
"36",36,"Comoros","Comoros","Sub-Saharan Africa","142","32","51,4","3,9","30","0,0","22,1","-1,9","64,5","-0,2","85,3","2,9","49,4","4,7","50,1","-1,1","74,5","-0,1","72,7","3,9","35","20,0","30","10,0","6,2","30,0","50,0","12,4","22,1","Comoros","0,7","$0,9","2,5","1,9","$1.258","20,0","6,0","17,0","42,6"
"37",37,"Congo, Democratic Republic of the Congo","DemcoraticRepublicCongo","Sub-Saharan Africa","172","44","40,6","1,0","10","0,0","17,6","-2,4","69,4","-2,0","74,6","14,5","30,0","-8,7","38,5","2,2","63,0","6,5","63,0","0,0","20","0,0","20","0,0","11,0","30,0","40,0","23,6","29,1","Democratic Republic of Congo","74,7","$27,6","7,1","6,0","$369","N/A","9,3","3.312,1","36,0"
"38",38,"Congo, Republic of","RepublicCongo","Sub-Saharan Africa","169","43","43,7","0,2","10","0,0","20,6","-1,4","67,5","6,1","79,6","-0,7","35,1","3,6","47,0","2,2","72,0","-2,3","55,6","-5,1","20","0,0","30","0,0","14,7","45,0","34,0","8,4","26,1","Republic of Congo","4,1","$19,1","3,8","5,8","$4.667","53,0","5,0","2.757,9","21,1"
"39",39,"Costa Rica","CostaRica","South and Central America / Caribbean","53","9","66,9","-0,1","50","0,0","50,9","2,9","80,0","-2,9","90,0","-0,1","64,9","6,6","53,3","-7,1","76,3","0,9","83,8","-1,3","70","0,0","50","0,0","3,1","25,0","30,0","21,9","18,2","Costa Rica","4,7","$58,8","5,0","3,1","$12.606","7,5","4,5","2.265,4","34,8"
"40",40,"Côte d'Ivoire","CoeDivoire","Sub-Saharan Africa","107","16","57,7","3,6","30","5,0","22,1","0,1","79,1","1,2","79,8","0,0","55,1","11,8","59,0","4,4","80,6","2,8","71,4","1,1","50","10,0","50","0,0","6,8","36,0","25,0","13,1","25,9","Côte d'Ivoire","23,4","$40,3","9,8","2,6","$1.727","N/A","1,3","478,4","49,1"
"41",41,"Croatia","Croatia","Europe","87","36","60,4","-0,9","40","0,0","41,1","1,1","69,4","-6,0","45,8","-2,9","61,4","-1,6","39,4","-3,0","79,2","-1,9","87,4","-0,1","80","5,0","60","0,0","1,3","40,0","20,0","32,6","42,5","Croatia","4,4","$78,4","-2,0","-1,9","$17.810","15,0","3,4","1.250,6","56,3"
